filename,score_percent,verdict,raw_score
Ai_et_al__-_2022_-_A_coupled_phase_field_formulation_for_modelling_fa_reactions.json,100.0,Excellent,20/20
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion_reactions.json,100.0,Excellent,67/67
2019_-_Recycle_spent_batteries_reactions.json,100.0,Excellent,45/45
_BatteriesSupercaps__Designing_Lithium_Argyrodite_Solid_State_Electrolytes_for_High_Performance_reactions.json,100.0,Excellent,40/40
An_et_al__-_2016_-_The_state_of_understanding_of_the_lithium-ion-batt_reactions.json,100.0,Excellent,65/65
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion-suppl_reactions.json,100.0,Excellent,35/35
Ayadi_et_al__-_2022_-_State_estimation_methodologies_for_lithium-sulfur__reactions.json,100.0,Excellent,25/25
Bedrov_et_al__-_2019_-_Molecular_Dynamics_Simulations_of_Ionic_Liquids_an_reactions.json,100.0,Excellent,13/13
Baktash_et_al__-_2020_-_Diffusion_of_lithium_ions_in_Lithium-argyrodite_so_reactions.json,100.0,Excellent,34/34
Barroso-Luque_et_al__-_2020_-_An_Analysis_of_Solid-State_Electrodeposition-Induc_reactions.json,100.0,Excellent,13/13
Booth_et_al__-_2021_-_Perspectives_for_next_generation_lithium-ion_batte_reactions.json,100.0,Excellent,13/13
Barbosa_et_al__-_2021_-_Metal_organic_frameworks_and_zeolite_materials_as__reactions.json,100.0,Excellent,33/33
Cheenicode_Kabeer_et_al__-_2017_-_First-Principles_Study_of_Alkoxides_Adsorbed_on_Au_reactions.json,100.0,Excellent,59/59
Cha_et_al__-_2021_-_A_mechanistic_review_of_lithiophilic_materials_re_reactions.json,100.0,Excellent,13/13
Butler_et_al__-_2019_-_Designing_interfaces_in_energy_materials_applicati_reactions.json,100.0,Excellent,13/13
Chakraborty_et_al__-_2018_-_Current_computational_trends_in_polyanionic_cathod_reactions.json,100.0,Excellent,13/13
Coelho_et_al__-_2022_-_Reviewing_machine_learning_of_corrosion_prediction_reactions.json,100.0,Excellent,13/13
Choi_and_Aurbach_-_2016_-_Promise_and_reality_of_post-lithium-ion_batteries__reactions.json,100.0,Excellent,13/13
Dai_et_al__-_2019_-_EverBatt_A_Closed-loop_Battery_Recycling_Cost_and_reactions.json,100.0,Excellent,13/13
Edge_et_al__-_2021_-_Lithium_ion_battery_degradation_what_you_need_to__reactions.json,100.0,Excellent,13/13
d3ta00940h1_reactions.json,100.0,Excellent,25/25
de_Klerk_and_Wagemaker_-_2018_-_Space-Charge_Layers_in_All-Solid-State_Batteries___reactions.json,100.0,Excellent,29/29
Eftekhari_and_Kim_-_2017_-_Cathode_materials_for_lithium_sulfur_batteries_a__reactions.json,100.0,Excellent,19/19
Fan_et_al__-_2020_-_Sustainable_Recycling_Technology_for_Li-Ion_Batter_reactions.json,100.0,Excellent,13/13
Gin_et_al__-_2017_-_Material_degradation_foreseen_in_the_very_long_ter_reactions.json,100.0,Excellent,13/13
Gaillac_et_al__-_2020_-_Speeding_Up_Discovery_of_Auxetic_Zeolite_Framework_reactions.json,100.0,Excellent,22/22
Ganesh_et_al__-_2014_-_Binding_and_Diffusion_of_Lithium_in_Graphite_Quan_reactions.json,100.0,Excellent,32/32
Gorai_et_al__-_Electronic_Supplementary_Information__Defect_Chemi_reactions.json,100.0,Excellent,20/20
Hart_and_Forcade_-_2008_-_Algorithm_for_generating_derivative_structures_reactions.json,100.0,Excellent,13/13
Hargreaves_et_al__-_2023_-_A_database_of_experimentally_measured_lithium_soli_reactions.json,100.0,Excellent,13/13
He_et_al__-_2019_-_Density_Functional_Theory_for_Battery_Materials_reactions.json,100.0,Excellent,13/13
Huang_and_Cole_-_2020_-_A_database_of_battery_materials_auto-generated_usi_reactions.json,100.0,Excellent,13/13
Huang_et_al__-_2021_-_Deep_potential_generation_scheme_and_simulation_pr_reactions.json,100.0,Excellent,28/28
Islam_and_Fisher_-_2014_-_Lithium_and_sodium_battery_cathode_materials_comp_reactions.json,100.0,Excellent,13/13
Jalem_et_al__-_2018_-_Bayesian-Driven_First-Principles_Calculations_for__reactions.json,100.0,Excellent,70/70
Hunter_and_Beyerlein_-_2014_-_Stacking_fault_emission_from_grain_boundaries_Mat_reactions.json,100.0,Excellent,46/46
Janek_and_Zeier_-_2023_-_Challenges_in_speeding_up_solid-state_battery_deve_reactions.json,100.0,Excellent,13/13
Kalantar-Zadeh_et_al__-_2021_-_Low_Melting_Temperature_Liquid_Metals_and_Their_Im_reactions.json,100.0,Excellent,41/41
Kahle_et_al__-_2020_-_High-throughput_computational_screening_for_solid-_reactions.json,100.0,Excellent,19/19
Kim_et_al__-_2024_-_Fluorine-Substituted_Lithium_Chloride_Solid_Electr_reactions.json,100.0,Excellent,84/84
Kim_and_Amine_-_2002_-_A_comparative_study_on_the_substitution_of_divalen_reactions.json,100.0,Excellent,13/13
Kuganathan_et_al__-_2021_-_Self-diffusion_in_garnet-type_Li7La3Zr2O12_solid_e_reactions.json,100.0,Excellent,31/31
Koyama_et_al__-_First_Principles_Calculations_of_Formation_Energie_reactions.json,100.0,Excellent,17/17
Landstorfer_et_al__-_2011_-_An_advanced_model_framework_for_solid_electrolyte__reactions.json,100.0,Excellent,17/17
Lee_et_al__-_2020_-_Fe_2_CS_2_MXene_a_promising_reactions.json,100.0,Excellent,37/37
Leisegang_et_al__-_2019_-_The_Aluminum-Ion_Battery_A_Sustainable_and_Semina_reactions.json,100.0,Excellent,13/13
Ling_-_2022_-_A_review_of_the_recent_progress_in_battery_informa_reactions.json,100.0,Excellent,13/13
Li_et_al__-_2021_-_Electrochemical_Intercalation_in_Atomically_Thin_v_reactions.json,100.0,Excellent,13/13
Liu_et_al__-_2019_-_Multi-ion_strategies_towards_emerging_rechargeable_reactions.json,100.0,Excellent,13/13
Liu_et_al__-_2020_-_Machine_learning_assisted_materials_design_and_dis_reactions.json,100.0,Excellent,13/13
_AdvancedMaterials__HighNickel_NMA_reactions.json,99.27,Excellent,136/137
Abraham_-_2020_-_How_Comparable_Are_Sodium-Ion_Batteries_to_Lithium_reactions.json,99.21,Excellent,126/127
Gupta_et_al__-_2022_-_Understanding_the_Design_of_Cathode_Materials_for__reactions.json,99.19,Excellent,245/247
Han_et_al__-_2017_-_From_Coating_to_Dopant_How_the_Transition_Metal_C_reactions.json,99.16,Excellent,118/119
Jayaprakash_et_al__-_2011_-_The_rechargeable_aluminum-ion_battery_reactions.json,99.15,Excellent,116/117
Liu_et_al__-_2019_-_A_new_strategy_to_prepare_GeGeO2-reduced_graphene_reactions.json,99.13,Excellent,114/115
Cheng_et_al__-_2022_-_Degradation_Mechanism_of_All-Solid-State_Li-Metal__reactions.json,99.11,Excellent,111/112
Dong_et_al__-_2015_-_Electrochemical_performance_and_lithium-ion_insert_reactions.json,99.11,Excellent,111/112
Goodenough_and_Kim_-_2010_-_Challenges_for_Rechargeable_Li_Batteries_reactions.json,99.11,Excellent,111/112
Lee_et_al__-_2021_-_Understanding_the_Chemical_Composition_with_Doping_reactions.json,99.1,Excellent,110/111
_JECS__Lithium_Free_Thin_Film_Battery_with_In_Situ_Plated_Li_Anode_reactions.json,99.09,Excellent,109/110
Chen_et_al__-_Staging_Phase_Transitions_in_LixCoO2_reactions.json,99.09,Excellent,109/110
Dong_et_al__-_2020_-_Combined_Experimental_and_Computational_Study_of_C_reactions.json,99.08,Excellent,108/109
Guo_et_al__-_2017_-_Aluminum_and_fluorine_co-doping_for_promotion_of_s_reactions.json,99.06,Excellent,105/106
Leedahl_et_al__-_2014_-_Structural_defects_induced_by_Fe-ion_implantation__reactions.json,99.06,Excellent,105/106
Lin_et_al__-_2017_-_Reviving_the_lithium_metal_anode_for_high-energy_b_reactions.json,99.06,Excellent,105/106
Cho_et_al__-_2018_-_Improved_particle_hardness_of_Ti-doped_LiNi13Co1_reactions.json,99.04,Excellent,103/104
Cheng_et_al__-_2020_-_Revealing_the_Impact_of_Space-Charge_Layers_on_the_reactions.json,99.0,Excellent,99/100
Kim_-_2020_-_Investigation_of_material__chemical__and_electroch_reactions.json,99.0,Excellent,99/100
Cortona_-_1992_-_Direct_determination_of_self-consistent_total_ener_reactions.json,98.99,Excellent,98/99
Kahle_et_al__-_2020_-_The_solid-state_Li-ion_conductor_Li7TaO6_A_combin_reactions.json,98.99,Excellent,98/99
Cheng_et_al__-_2017_-_Quantum_Mechanics_Reactive_Dynamics_Study_of_Solid_reactions.json,98.98,Excellent,97/98
Liu_et_al__-_2021_-_Current_and_future_lithium-ion_battery_manufacturi_reactions.json,98.96,Excellent,95/96
Ali_Nowroozi_et_al__-_2022_-_Towards_Recycling_of_LLZO_Solid_Electrolyte_Exempl_reactions.json,98.95,Excellent,94/95
Kanehori_et_al__-_1983_-_Thin_film_solid_electrolyte_and_its_application_to_reactions.json,98.95,Excellent,94/95
Chen_et_al__-_2019_-_Recycling_End-of-Life_Electric_Vehicle_Lithium-Ion_reactions.json,98.92,Excellent,92/93
Chen_et_al__-_2021_-_Role_of_Lithiophilic_Metal_Sites_in_Lithium_Metal__reactions.json,98.92,Excellent,92/93
Koerver_et_al__-_2018_-_Chemo-mechanical_expansion_of_lithium_electrode_ma_reactions.json,98.89,Excellent,89/90
Di_Stefano_et_al__-_2019_-_Superionic_Diffusion_through_Frustrated_Energy_Lan_reactions.json,98.88,Excellent,88/89
Kovtyukhova_et_al__-_2013_-_Reversible_Intercalation_of_Hexagonal_Boron_Nitrid_reactions.json,98.88,Excellent,88/89
Hanada_et_al__-_2022_-_DFT-Based_investigation_of_Amic_Acid_extractants_a_reactions.json,98.85,Excellent,86/87
Buschmann_et_al__-_2012_-_Lithium_metal_electrode_kinetics_and_ionic_conduct_reactions.json,98.84,Excellent,85/86
Drakopoulos_-_Formulation_and_manufacturing_optimization_of_lith_reactions.json,98.84,Excellent,85/86
Feng_et_al__-_2022_-_Review_of_modification_strategies_in_emerging_inor_reactions.json,98.84,Excellent,85/86
Gao_et_al__-_2022_-_High_Formability_Bromide_Solid_Electrolyte_with_Im_reactions.json,98.82,Excellent,84/85
Huang_et_al__-_2020_-_A_dual-ion_battery_has_two_sides_the_effect_of_io_reactions.json,98.82,Excellent,84/85
Chen_et_al__-_2019_-_Cation_and_anion_Co-doping_synergy_to_improve_stru_reactions.json,98.81,Excellent,83/84
He_et_al__-_2020_-_The_intrinsic_behavior_of_lithium_fluoride_in_soli_reactions.json,98.78,Excellent,81/82
Ahmed_et_al__-_2016_-_Energy_impact_of_cathode_drying_and_solvent_recove_reactions.json,98.77,Excellent,80/81
Bittihn_-_1983_-_Self_discharge_of_Li3N_based_all_solid_state_cells_reactions.json,98.77,Excellent,80/81
Ding_et_al__-_2020_-_Next-Generation_Liquid_Metal_Batteries_Based_on_th_reactions.json,98.73,Excellent,78/79
Inagaki_et_al__-_2019_-_Conduction_Mechanism_of_Li_10_GeP__reactions.json,98.72,Excellent,77/78
