level,subgroup,precision,precision_ci_lo,precision_ci_hi,recall,recall_ci_lo,recall_ci_hi,f1,f1_ci_lo,f1_ci_hi,n_papers,n_boot
Overall,All,0.9363867684478372,0.914985316490879,0.956491735819891,0.9460154241645244,0.9276448169920307,0.9624666742431722,0.9411764705882353,0.9272553246709067,0.9535626128339055,30,10000
Entity Type,target,0.82,0.6086956521739131,0.9687620192307691,0.6212121212121212,0.43548387096774194,0.7721518987341772,0.706896551724138,0.536073269513991,0.8285714285714285,30,10000
Entity Type,chemical,0.9429223744292238,0.9013452914798207,0.9787234042553191,0.9856801909307876,0.9707724425887265,1.0,0.9638273045507585,0.9392707820954256,0.9843561973525872,30,10000
Entity Type,operation,0.9005524861878453,0.841770561669105,0.9543147208121827,0.9819277108433735,0.9523809523809523,1.0,0.9394812680115274,0.9050279329608938,0.9704366476279286,30,10000
Entity Type,step_description,0.9911504424778761,0.9722222222222222,1.0,1.0,1.0,1.0,0.9955555555555555,0.9859154929577464,1.0,30,10000
Entity Type,characterization,0.9479166666666666,0.9094488188976378,0.9807722929936304,0.9254237288135593,0.8435343888445058,0.9815950920245399,0.9365351629502572,0.8901293472243194,0.9692540438439127,29,10000
Entity Type,final_outcome,0.9746835443037974,0.9210526315789473,1.0,1.0,1.0,1.0,0.9871794871794872,0.958904109589041,1.0,30,10000
Tier,simple,0.9591836734693877,0.921875,0.9875,0.9337748344370861,0.8835616438356164,0.9748466981132075,0.9463087248322147,0.9166596989966554,0.9685534591194969,10,10000
Tier,moderate,0.9246575342465754,0.88,0.9650369978858351,0.9473684210526315,0.9272136180736021,0.9683794466403162,0.9358752166377816,0.9166666666666667,0.9538475177304965,10,10000
Tier,complex,0.9365994236311239,0.9135128258029022,0.9597713977832512,0.9502923976608187,0.919997138769671,0.9776853529835035,0.9433962264150942,0.9204052098408104,0.963563320064868,10,10000
