paper_id,doi,title,target_match
Ali_Nowroozi_et_al__-_2022_-_Towards_Recycling_of_LLZO_Solid_Electrolyte_Exempl_reactions,10.1002/open.202100274,Towards Recycling of LLZO Solid Electrolyte Exemplarily Performed on LFP/LLZO/LTO Cells,cubic LLZO | Li7La3Zr2O12
Andriyevsky_et_al__-_2017_-_Ab_initio_molecular_dynamics_study_of_lithium_diff_reactions,10.1016/j.matchemphys.2016.10.025,Ab initio molecular dynamics study of lithium diffusion in tetragonal Li7La3Zr2O12,Li7La3Zr2O12 (tetragonal) | Li7La3Zr2O12
Buschmann_et_al__-_2012_-_Lithium_metal_electrode_kinetics_and_ionic_conduct_reactions,10.1016/j.jpowsour.2012.01.094,Lithium metal electrode kinetics and ionic conductivity of the solid lithium ion conductors “Li7La3Zr2O12” and Li7−xLa3Zr2−xTaxO12 with garnet-type structure,Li7La3Zr2O12 | Li7La3Zr2O12
Cheng_et_al__-_2022_-_Degradation_Mechanism_of_All-Solid-State_Li-Metal__reactions,10.1021/acsami.2c09841,Degradation Mechanism of All-Solid-State Li-Metal Batteries Studied by Electrochemical Impedance Spectroscopy,Al-doped Li7La3Zr2O12 | Li7La3Zr2O12:Al
Dong_et_al__-_2020_-_Combined_Experimental_and_Computational_Study_of_C_reactions,10.1021/acs.chemmater.9b03526,Combined Experimental and Computational Study of Ce-Doped La3Zr2Li7O12 Garnet Solid-State Electrolyte,Li7La3Zr2O12 | Li7La3Zr2O12
Dumon_et_al__-_2013_-_High_Li_ion_conductivity_in_strontium_doped_Li7La3_reactions,10.1016/j.ssi.2013.04.016,High Li ion conductivity in strontium doped Li7La3Zr2O12 garnet,Sr-doped Li7La3Zr2O12 | Li7La3−xSrxZr2O12 (x ≤ 0.25)
Feng_et_al__-_2022_-_Review_of_modification_strategies_in_emerging_inor_reactions,10.1016/j.joule.2022.01.015,"Review of modification strategies in emerging inorganic solid-state electrolytes for lithium, sodium, and potassium batteries",LLZO thin film | Li7La3Zr2O12 (tape-cast film)
Gong_et_al__-_2018_-_Three-dimensional_atomic-scale_observation_of_stru_reactions,10.1038/s41467-018-05833-x,Three-dimensional atomic-scale observation of structural evolution of cathode material in a working all-solid-state battery,Au/LLZO/LNMO all-solid-state micro-battery | 
Haslam_et_al__-_2022_-_The_effect_of_aspect_ratio_on_the_mechanical_behav_reactions,10.1016/j.jpowsour.2021.230831,The effect of aspect ratio on the mechanical behavior of Li metal in solid-state cells,Ni/Li/LLZO/Li/Ni symmetric cell | 
He_et_al__-_2017_-_Origin_of_fast_ion_diffusion_in_super-ionic_conduc_reactions,10.1038/ncomms15893,Origin of fast ion diffusion in super-ionic conductors,Li7La3Zr2O12 | Li7La3Zr2O12
Jonderian_and_McCalla_-_2021_-_The_role_of_metal_substitutions_in_the_development_reactions,10.1039/d1ma00082a,"The role of metal substitutions in the development of Li batteries, part II: solid electrolytes",Li7La3Zr2O12 (LLZO) pellet | 
Kc_et_al__-_2014_-_Point_defects_in_garnet-type_solid_electrolyte__c-_reactions,10.1016/j.ssi.2014.04.021,Point defects in garnet-type solid electrolyte (c-Li7La3Zr2O12) for Li-ion batteries,cubic Li7La3Zr2O12 | Li7La3Zr2O12
Kim_et_al__-_2015_-_A_review_of_lithium_and_non-lithium_based_solid_st_reactions,10.1016/j.jpowsour.2015.02.054,A review of lithium and non-lithium based solid state batteries,Li7La3Zr2O12 (LLZO) powder | Li7La3Zr2O12
Kinzer_et_al__-_2021_-_Operando_analysis_of_the_molten_LiLLZO_interface_reactions,10.1016/j.matt.2021.04.016,Operando analysis of the molten Li|LLZO interface: Understanding how the physical properties of Li affect the critical current density,Ta-doped LLZO | Li6.5La3Ta0.5Zr1.5O12
Krauskopf_et_al__-_2020_-_Physicochemical_Concepts_of_the_Lithium_Metal_Anod_reactions,10.1021/acs.chemrev.0c00431,Physicochemical Concepts of the Lithium Metal Anode in Solid-State Batteries,Li7La3Zr2O12 | Li7La3Zr2O12
Kuganathan_et_al__-_2021_-_Self-diffusion_in_garnet-type_Li7La3Zr2O12_solid_e_reactions,10.1038/s41598-020-79919-2,Self-diffusion in garnet-type Li7La3Zr2O12 solid electrolytes,Li7La3Zr2O12 | Li7La3Zr2O12
Li_and_Monroe_-_2019_-_Dendrite_nucleation_in_lithium-conductive_ceramics_reactions,10.1039/c9cp03884a,Dendrite nucleation in lithium-conductive ceramics,Li7La3Zr2O12 | Li7La3Zr2O12
Marcolongo_et_al__-_2020_-_Simulating_Diffusion_Properties_of_Solid_State_Ele_reactions,10.1002/syst.201900031,Simulating Diffusion Properties of Solid-State Electrolytes via a Neural Network Potential: Performance and Training Scheme,Li7La3Zr2O12 | Li7La3Zr2O12
Ma_and_Xu_-_2022_-_Enhanced_critical_current_density_of_Garnet_Li7La3_reactions,10.1016/j.electacta.2022.139986,Enhanced critical current density of Garnet Li7La3Zr2O12 solid electrolyte by incorporation of LiBr,xLiBr–LLZO pellet | 
Moradabadi_and_Kaghazchi_-_2019_-_Defect_chemistry_in_cubic_Li6_25Al0_25La3Zr2O12_so_reactions,10.1016/j.ssi.2019.04.023,Defect chemistry in cubic Li 6.25Al0.25La3Zr2O12 solid electrolyte: A density functional theory study,Li7La3Zr2O12 | Li7La3Zr2O12
Moradabadi_and_Kaghazchi_-_2020_-_Effect_of_lattice_and_dopant_induced_strain_on_the_reactions,10.1016/j.mtla.2020.100607,Effect of lattice and dopant–induced strain on the conductivity of solid electrolytes: application of the elastic dipole method,cubic Li7La3Zr2O12 | Li7La3Zr2O12
Murugan_et_al__-_2007_-_Fast_Lithium_Ion_Conduction_in_Garnet-Type_Li7La3Z_reactions,10.1002/anie.200701144,Fast Lithium Ion Conduction in Garnet-Type Li7La3Zr2O12,Li7La3Zr2O12 | Li7La3Zr2O12
Ren_et_al__-_2019_-_Microstructure_Manipulation_for_Enhancing_the_Resi_reactions,10.1021/acsami.8b17954,Microstructure Manipulation for Enhancing the Resistance of Garnet-Type Solid Electrolytes to “Short Circuit” by Li Metal Anodes,0.8Ta-LLZO sintered pellet | Li6.2La3Zr1.2Ta0.8O12
Samsinger_et_al__-_2020_-_Fast_Ion_Conduction_of_Sintered_Glass-Ceramic_Lith_reactions,10.1149/1945-7111/abc0a9,Fast Ion Conduction of Sintered Glass-Ceramic Lithium Ion Conductors Investigated by Impedance Spectroscopy and Coaxial Reflection Technique,LLZO sintered disc | Li7La3Zr2O12
Shin_et_al__-_2015_-_Synergistic_multi-doping_effects_on_the_Li7La3Zr2O_reactions,10.1038/srep18053,Synergistic multi-doping effects on the Li7La3Zr2O12 solid electrolyte for fast lithium ion conduction,"Single Al-doped cubic LLZO | Li7−3x−yAlxLa3Zr2−yTayO12 (x=0.2,y=0)"
si_llzo_reactions,,Native Defects and their Doping Response in the Lithium Solid Electrolyte Li7La3Zr2O12,Li7La3Zr2O12 | Li7La3Zr2O12
Squires_et_al__-_2020_-_Native_Defects_and_Their_Doping_Response_in_the_Li_reactions,10.1021/acs.chemmater.9b04319,Native Defects and Their Doping Response in the Lithium Solid Electrolyte Li7La3Zr2O12,Li7La3Zr2O12 | Li7La3Zr2O12
Swift_et_al__-_2021_-_Modeling_the_electrical_double_layer_at_solid-stat_reactions,10.1038/s43588-021-00041-y,Modeling the electrical double layer at solid-state electrochemical interfaces,Li7La3Zr2O12 (LLZO) | Li7La3Zr2O12
Wang_et_al__-_2018_-_Universal_Soldering_of_Lithium_and_Sodium_Alloys_o_reactions,10.1002/aenm.201701963,Universal Soldering of Lithium and Sodium Alloys on Various Substrates for Batteries,Li6.75La2.75Ca0.25Zr1.75Nb0.25O12 (garnet SSE) | Li6.75La2.75Ca0.25Zr1.75Nb0.25O12
Wang_et_al__-_2020_-_Enabling__lithium-free__manufacturing_of_pure_lith_reactions,10.1038/s41467-020-19004-4,Enabling “lithium-free” manufacturing of pure lithium metal solid-state batteries through in situ plating,Cu-LLZO laminate | 
Yu_and_Siegel_-_2017_-_Grain_Boundary_Contributions_to_Li-Ion_Transport_i_reactions,10.1021/acs.chemmater.7b02805,Grain Boundary Contributions to Li-Ion Transport in the Solid Electrolyte Li7La3Zr2O12 (LLZO),Li7La3Zr2O12 | Li7La3Zr2O12
Yu_and_Siegel_-_2022_-_Atomic_Scal_reactions,,Atomic Scale Simulations of the Solid Electrolyte Li7La3Zr2O12,Li7La3Zr2O12 | Li7La3Zr2O12
Yu_and_Siegel_-_Grain_Boundary_Contributions_to_Li-ion_Transport_i_reactions,,Grain Boundary Contributions to Li-ion Transport in the Solid Electrolyte Li7La3Zr2O12 (LLZO),Li7La3Zr2O12 | Li7La3Zr2O12
Zhang_et_al__-_2024_-_Exploring_the_Relationship_between_Composition_and_reactions,10.1021/acsmaterialslett.3c01558,Exploring the Relationship between Composition and Li-Ion Conductivity in the Amorphous Li−La−Zr−O System,amorphous Li−La−Zr−O (a-LLZO) | 
zhu-et-al-2015-origin-of-outstanding-stability-in-the-lithium-solid-electrolyte-materials-insights-from-thermodynamicsup_reactions,,Origin of Outstanding Stability in the Lithium Solid Electrolyte Materials: Insights from Thermodynamic Analyses Based on First Principles Calculations,Li7La3Zr2O12 | Li7La3Zr2O12
Zhu_et_al__-_2015_-_Origin_of_Outstanding_Stability_in_the_Lithium_Sol_reactions,,Origin of Outstanding Stability in the Lithium Solid Electrolyte Materials: Insights from Thermodynamic Analyses Based on First Principles Calculations,Li7La3Zr2O12 | Li7La3Zr2O12
