entity_id,paper_title,entity_type,extracted_value,source_context_snippet
REV_B57ACF45,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,operation,action=seal  T=null  t=null,
REV_943FC43F,A Battery Made from a Single Material,characterization,method=Inductively coupled plasma spectroscopy (ICP-OES)  purpose=,
REV_E586D7A7,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,final_outcome,200,
REV_792DA648,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,chemical,name=ZnI2  formula=  role=  amount={...},
REV_BC28BD94,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,target,compound=mesoporous Al2O3  formula=Al2O3  role=intermediate,
REV_B396C9A7,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,final_outcome,{...},
REV_6436997B,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,step_description,description=Thermal evaporation of lithium metal onto LiPON,
REV_BDE45610,Electrical resistance of the current collector controls lithium morphology,chemical,name=tetrakis(dimethylamino)tin(IV)  formula=  role=  amount={...},
REV_A45BDD27,Li metal-free rechargeable all-solid-state Li2S/Si battery based on Li7P3S11 ele,characterization,method=Electrochemical Impedance Spectroscopy  purpose=,
REV_55D442C9,Staging Phase Transitions in Li xCoO2,step_description,description=Coating of LiCoO2 with Al2O3 precursor,
REV_7509C347,High liquid–liquid extraction selectivity of Fe(II) and Pb(II) with TD-DFT theor,chemical,"name=(1H-1,2,4-triazol-1-yl)methanol  formula=  role=  amount={...}",
REV_A9F205F2,Staging Phase Transitions in Li xCoO2,characterization,method=XRD (in situ)  purpose=,
REV_3901185D,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and,step_description,description=Washing and drying,
REV_195D6595,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,step_description,description=Dry mixing of powders for composite cathode,
REV_7F3075E8,A Battery Made from a Single Material,characterization,method=Cyclic voltammetry (CV)  purpose=,
REV_7B8F8E76,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,characterization,method=SEM  purpose=,
REV_38D630FD,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,final_outcome,300,
REV_498D4CCF,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxyge",chemical,name=Potassium permanganate  formula=  role=  amount=0.002,
REV_35467F65,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-,characterization,method=Raman spectroscopy  purpose=,
REV_F1799A16,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,characterization,method=Cyclic voltammetry  purpose=,
REV_16CFEA5D,High liquid–liquid extraction selectivity of Fe(II) and Pb(II) with TD-DFT theor,target,"compound=11-(Bis((3,5-dimethyl-1H-pyrazol-1-yl)methyl)amino)undecanoic acid  formula=  role=product",
REV_9D205FC0,Reduced Graphene Oxide/LiI Composite Lithium Ion Battery Cathodes,operation,action=disperse  T={...}  t={...},
REV_10488D31,Enhanced lithium ion conduction and the size effect on interfacial phase in Li2Z,final_outcome,{...},
REV_C72CD1C6,Unveiling the Stable Nature of the Solid Electrolyte Interphase between Lithium ,characterization,method=Cryo-STEM-EELS  purpose=,
REV_612B0E8A,Oriented nanoporous MOFs to mitigate polysulfides migration in lithium-sulfur ba,characterization,method=BET  purpose=,
REV_454A1C8C,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesiu,chemical,name=Ti3C2Tx  formula=  role=  amount={...},
REV_9FE4D41D,High liquid–liquid extraction selectivity of Fe(II) and Pb(II) with TD-DFT theor,characterization,method=13C NMR  purpose=,
REV_86437267,Identifying the Distribution of Al3+ in LiNi0.8Co0.15Al0.05O2,chemical,name=LiNi0.8Co0.15Al0.05O2 (NCA)  formula=  role=  amount={...},
REV_17C2B81E,Co-modification by LiAlO2-coating and Al-doping for LiNi0.5Co0.2Mn0.3O2 as a hig,operation,action=wash_filter_dry  T={...}  t={...},
REV_ECEE24FB,"Carbon-, Binder-, and Precious Metal-Free Cathodes for Non-Aqueous Lithium−Oxyge",characterization,method=BET  purpose=,
REV_F664E71A,Electrochemical surface passivation of LiCoO2 particles at ultrahigh voltage and,operation,action=wash  T=null  t=null,
REV_FD748A86,High liquid–liquid extraction selectivity of Fe(II) and Pb(II) with TD-DFT theor,target,compound=11-(Bis((1H-pyrazol-1-yl)methyl)amino)undecanoic acid  formula=  role=product,
REV_2B4B9346,Electrochemical lithium intercalation behavior of pristine and milled hexagonal ,chemical,name=Lithium metal  formula=  role=  amount={...},
REV_08107568,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,step_description,description=Amination and reduction of GO to obtain EFG,
REV_08CB5D65,Two-dimensional V2C@Se (MXene) composite cathode material for high-performance r,final_outcome,{...},
REV_19347F75,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,operation,action=add  T={...}  t={...},
REV_E12895F6,"Zinc-Doped High-Nickel, Low-Cobalt Layered Oxide Cathodes for High-Energy-Densit",chemical,name=NiSO4·6H2O  formula=  role=  amount={...},
REV_6FBBF0D0,Enhancing lithium–sulphur battery performance by strongly binding the discharge ,operation,action=filter  T={...}  t={...},
