opaque_id,original_id,tier
REV_B57ACF45,step_4_op1,moderate
REV_943FC43F,char_2,moderate
REV_E586D7A7,capacity,complex
REV_792DA648,chem_1,moderate
REV_BC28BD94,target_2,moderate
REV_B396C9A7,yield,complex
REV_6436997B,step_3,moderate
REV_BDE45610,chem_2,moderate
REV_A45BDD27,char_6,moderate
REV_55D442C9,step_1,complex
REV_7509C347,chem_2,simple
REV_A9F205F2,char_0,complex
REV_3901185D,step_4,moderate
REV_195D6595,step_1,simple
REV_7F3075E8,char_4,moderate
REV_7B8F8E76,char_2,complex
REV_38D630FD,cycle_life,simple
REV_498D4CCF,chem_6,moderate
REV_35467F65,char_2,moderate
REV_F1799A16,char_4,complex
REV_16CFEA5D,target_L2,simple
REV_9D205FC0,step_1_op0,complex
REV_10488D31,yield,moderate
REV_C72CD1C6,char_3,moderate
REV_612B0E8A,char_2,complex
REV_454A1C8C,chem_0,moderate
REV_9FE4D41D,char_2,simple
REV_86437267,chem_0,simple
REV_17C2B81E,step_4_op0,complex
REV_ECEE24FB,char_3,moderate
REV_F664E71A,step_4_op0,moderate
REV_FD748A86,target_L4,simple
REV_2B4B9346,chem_11,complex
REV_08107568,step_1,complex
REV_08CB5D65,yield,simple
REV_19347F75,step_3_op0,complex
REV_E12895F6,chem_0,complex
REV_6FBBF0D0,step_4_op0,complex
REV_3482F641,chem_4,complex
REV_1457FE5B,char_0,complex
REV_0135144D,chem_0,complex
REV_2C7000C4,step_2_op0,complex
REV_C4CE33C0,chem_10,complex
REV_E8842461,step_2b_op0,moderate
REV_FD386F2F,char_2,simple
REV_F39FB19F,char_2,simple
REV_063BE607,yield,moderate
REV_41C65C86,yield,moderate
REV_B06863D6,step_3,moderate
REV_A569A402,target_2,complex
REV_5D24A63F,char_4,moderate
REV_13652D98,step_2_op1,complex
REV_439DDD36,chem_3,complex
REV_E74F6322,step_5_op2,complex
REV_18496BF9,yield,complex
REV_67C8B54A,char_4,complex
REV_A450E1B8,chem_3,simple
REV_2F6CC63B,chem_14,complex
REV_BF9805EF,chem_11,complex
REV_97926445,char_1,complex
REV_4F9A300A,char_1,simple
REV_008697CB,char_0,moderate
REV_5F260082,char_5,simple
REV_C3F5A956,chem_4,moderate
REV_4C92F849,chem_3,moderate
REV_8AADB01C,step_6,complex
REV_4D6AF720,chem_6,moderate
REV_9E292696,char_1,moderate
REV_ECEB4A33,step_3_op1,complex
REV_8113B0C3,char_1,simple
REV_D9F8A8C5,yield,complex
REV_D782FCC3,step_5_op6,moderate
REV_111DDF26,char_0,complex
REV_80A6A0AD,step_5,complex
REV_30EC8219,chem_5,moderate
REV_0E9B1007,step_4,moderate
REV_9D5E15AF,chem_4,simple
REV_A790E011,step_6_op1,complex
REV_58FB11E5,target_1,complex
REV_39AEDEDD,target_2,moderate
REV_33C3C265,char_2,complex
REV_62FDA36A,step_4_op0,moderate
REV_80CE0D3B,cycle_life,simple
REV_B5539D33,step_2_op0,simple
REV_B69B8CA8,char_3,simple
REV_CC35F90D,target_2,complex
REV_A7D6139A,char_4,complex
REV_A6E49FBA,step_4_op2,complex
REV_8ED75DEF,chem_8,moderate
REV_975F6D24,chem_2,moderate
REV_786A1973,chem_7,moderate
REV_E2E8467A,target_2,complex
REV_9EF69EF5,chem_0,moderate
REV_4A856628,step_2_op2,complex
REV_758B8EBE,yield,moderate
REV_25573DDA,char_2,complex
REV_39E848E5,yield,complex
REV_05483717,step_3_op0,complex
REV_4AFADF3D,capacity,moderate
REV_66BEDA76,char_5,simple
