filename,score_percent,verdict,raw_score
Duquesnoy_et_al__-_2020_-_Data-driven_assessment_of_electrode_calendering_pr_reactions.json,78.69,Good,48/61
Sun_et_al__-_2018_-_Towards_a_reliable_Li-metal-free_LiNO_3_reactions.json,78.51,Good,95/121
Marchiori_et_al__-_2020_-_Understanding_the_Electrochemical_Stability_Window_reactions.json,78.33,Good,47/60
Yazdani_et_al__-_2021_-_Heterointerface_Effects_on_Lithium-Induced_Phase_T_reactions.json,78.05,Good,96/123
Park_et_al__-_2022_-_Introducing_high-valence_elements_into_cobalt-free_reactions.json,77.97,Good,92/118
Luo_et_al__-_2022_-_Nickel-rich_and_cobalt-free_layered_oxide_cathode__reactions.json,77.78,Good,42/54
Kim_et_al__-_2014_-_Novel_transition-metal-free_cathode_for_high_energ_reactions.json,77.67,Good,80/103
Ren_et_al__-_2015_-_Direct_observation_of_lithium_dendrites_inside_gar_reactions.json,77.66,Good,73/94
Nguyen_et_al__-_2021_-_Polypeptide_organic_radical_batteries_reactions.json,77.22,Good,122/158
Yuan_et_al__-_2020_-_An_ultrastable_lithium_metal_anode_enabled_by_desi_reactions.json,77.08,Good,74/96
Yang_et_al__-_2019_-_Aqueous_Li-ion_battery_enabled_by_halogen_conversi_reactions.json,76.98,Good,97/126
Cherkashinin_et_al__-_2019_-_Performance_of_Li-Ion_Batteries_Contribution_of_E_reactions.json,76.92,Good,90/117
Sha_et_al__-_2013_-_Solid_lithium_electrolyte-Li4Ti5O12_composites_as__reactions.json,76.87,Good,103/134
Wang_et_al__-_2021_-_Carbon_materials_for_ion-intercalation_involved_re_reactions.json,76.83,Good,63/82
Zhang_et_al__-_2018_-_Lithiophilic-lithiophobic_gradient_interfacial_lay_reactions.json,76.71,Good,112/146
Su_et_al__-_2024_-_A_scalable_Li-Al-Cl_stratified_structure_for_stabl_reactions.json,76.7,Good,79/103
Shin_et_al__-_2015_-_Synergistic_multi-doping_effects_on_the_Li7La3Zr2O_reactions.json,76.67,Good,69/90
Hsueh_et_al__-_2023_-_Sputtered_silver_on_the_current_collector_for_anod_reactions.json,76.4,Good,68/89
Liu_et_al__-_2021_-_In_situ_formation_of_a_Li_3_N-ri_reactions.json,76.34,Good,71/93
Assegie_et_al__-_2018_-_Polyethylene_oxide_film_coating_enhances_lithium_c_reactions.json,76.27,Good,90/118
Yu_et_al__-_2020_-_Tuning_ionic_conductivity_and_electrode_compatibil_reactions.json,76.25,Good,61/80
Senevirathne_et_al__-_2013_-_A_new_crystalline_LiPON_electrolyte_Synthesis__pr_reactions.json,76.19,Good,64/84
Ji_et_al__-_2019_-_Lithium_intercalation_into_bilayer_graphene_reactions.json,75.93,Good,82/108
Zhang_et_al__-_2022_-_Compositionally_complex_doping_for_zero-strain_zer_reactions.json,75.74,Good,103/136
Takahashi_et_al__-_2013_-_All-solid-state_lithium_battery_with_LiBH4_solid_e_reactions.json,75.63,Good,90/119
Ma_and_Xu_-_2022_-_Enhanced_critical_current_density_of_Garnet_Li7La3_reactions.json,75.61,Good,93/123
Luo_et_al__-_A_chemically_stabilized_sulfur_cathode_for_lean_el_reactions.json,75.56,Good,68/90
Boulineau_et_al__-_2012_-_Mechanochemical_synthesis_of_Li-argyrodite_Li6PS5X_reactions.json,75.53,Good,71/94
Chang_et_al__-_2014_-_Rechargeable_LiBr_battery_a_promising_platform__reactions.json,75.0,Good,75/100
Li_et_al__-_2024_-_Constructing_static_two-electron_lithium-bromide_b_reactions.json,74.44,Acceptable,67/90
Zhu_et_al__-_2021_-_An_unconventional_full_dual-cation_battery_reactions.json,74.12,Acceptable,63/85
