paper_id,tier,score_percent,verdict,raw_score,completeness_pct,provenance_pct,formula_pct,units_pass,hallucination_pass
Gao_et_al__-_2018_-_Na_3_MnZr_PO_4___3sub,simple,98.0,Excellent,50/51,100.0,92.3,100.0,1,1
Hong_et_al__-_2022_-_All-Solid-State_Lithium_Batteries_Li__,simple,81.8,Good,54/66,100.0,35.3,100.0,0,1
L_pez-Aranguren_et_al__-_2021_-_Crystalline_LiPON_as_a_Bulk-Type_Solid_Electrolyte,simple,96.9,Excellent,62/64,100.0,88.2,100.0,1,1
Lamsayah_et_al__-_2016_-_High_liquid_liquid_extraction_selectivity_of_Fe_II,simple,85.7,Good,60/70,91.3,88.2,20.0,1,1
Lee_et_al__-_2001_-_Synthesis_and_characterization_of_lithium_aluminum,simple,81.8,Good,27/33,84.0,80.0,100.0,1,0
Li_and_Monroe_-_2019_-_Dendrite_nucleation_in_lithium-conductive_ceramics,simple,97.8,Excellent,44/45,100.0,90.0,100.0,1,1
Li_et_al__-_2023_-_One_step_in-situ_synthesis_of_Na3V2_PO4_3Na3V3_PO,simple,81.2,Good,52/64,100.0,33.3,100.0,1,1
Liu_et_al__-_2021_-_Impedance_Modeling_of_Solid-State_Electrolytes_In,simple,97.5,Excellent,39/40,100.0,85.7,100.0,1,1
Lv_et_al__-_2022_-_Two-dimensional_V2C_Se__MXene__composite_cathode_m,simple,96.8,Excellent,61/63,100.0,86.7,100.0,1,1
Trease_et_al__-_2016_-_Identifying_the_Distribution_of_Al_3__i,simple,98.2,Excellent,54/55,100.0,92.3,100.0,1,1
Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod,moderate,95.6,Excellent,86/90,100.0,82.6,100.0,1,1
Cheng_et_al__-_2020_-_Unveiling_the_Stable_Nature_of_the_Solid_Electroly,moderate,98.9,Excellent,94/95,100.0,100.0,100.0,1,0
Han_et_al__-_2015_-_A_Battery_Made_from_a_Single_Material,moderate,88.7,Good,86/97,100.0,64.3,100.0,1,0
Kanno_-_2000_-_Synthesis_of_a_new_lithium_ionic_conductor__thio-L,moderate,92.5,Excellent,86/93,98.3,79.2,100.0,1,0
Maekawa_et_al__-_2008_-_Enhanced_lithium_ion_conduction_and_the_size_effec,moderate,84.0,Good,89/106,100.0,48.4,100.0,1,0
Oyakhire_et_al__-_2022_-_Electrical_resistance_of_the_current_collector_con,moderate,91.0,Excellent,101/111,100.0,68.8,100.0,1,1
Qian_et_al__-_2018_-_Electrochemical_surface_passivation_of_LiCoO2_part,moderate,87.3,Good,69/79,100.0,56.5,100.0,1,1
Riaz_et_al__-_2014_-_Carbon-__Binder-__and_Precious_Metal-Free_Cathodes,moderate,88.4,Good,99/112,100.0,65.6,91.7,1,0
Xu_et_al__-_2019_-_Li_metal-free_rechargeable_all-solid-state_Li2SSi,moderate,85.2,Good,98/115,100.0,54.3,100.0,1,0
Yi_et_al__-_2015_-_Facile_in_Situ_Preparation_of_Graphitic-C_3,moderate,93.8,Excellent,91/97,100.0,80.8,100.0,1,0
Chen_et_al__-_Staging_Phase_Transitions_in_LixCoO2,complex,91.1,Excellent,113/124,100.0,69.4,100.0,1,1
Chu_et_al__-_2020_-_A_multi-functional_binder_for_high_loading_sulfur_,complex,87.3,Good,96/110,97.0,66.7,81.8,1,1
Cui_et_al__-_2021_-_Zinc-Doped_High-Nickel__Low-Cobalt_Layered_Oxide_C,complex,94.9,Excellent,130/137,100.0,81.1,100.0,1,1
Kim_et_al__-_2017_-_Electrochemical_lithium_intercalation_behavior_of_,complex,97.4,Excellent,113/116,98.5,100.0,93.3,1,0
Kim_et_al__-_2017_-_Reduced_Graphene_OxideLiI_Composite_Lithium_Ion_B,complex,88.0,Good,117/133,98.7,68.3,91.7,1,0
Li_et_al__-_2018_-_Co-modification_by_LiAlO2-coating_and_Al-doping_fo,complex,90.7,Excellent,88/97,100.0,72.4,100.0,1,0
Lin_et_al__-_2016_-_Layered_reduced_graphene_oxide_with_nanoscale_inte,complex,85.0,Good,68/80,96.1,66.7,33.3,1,1
Liu_et_al__-_2021_-_Understanding_Co_roles_towards_developing_Co-free_,complex,92.3,Excellent,143/155,100.0,71.4,100.0,1,1
Rana_et_al__-_2020_-_Oriented_nanoporous_MOFs_to_mitigate_polysulfides_,complex,86.8,Good,125/144,96.5,71.4,73.3,1,1
Wang_et_al__-_2014_-_Enhancing_lithium_sulphur_battery_performance_by_s,complex,83.7,Good,82/98,93.4,70.4,50.0,1,1
