normalized_method,count
XRD,242
EIS,209
SEM,179
DFT calculation,168
Galvanostatic cycling,136
TEM,109
XPS,81
Cyclic voltammetry,71
Raman spectroscopy,60
NMR,54
Ionic conductivity measurement,46
TGA,38
BET,34
ICP,28
DSC,26
FTIR,25
EDX/EDS,24
Neutron diffraction,18
Galvanostatic charge–discharge,14
XANES/EXAFS,14
CI-NEB,11
GITT,7
Electrochemical testing,7
AFM,7
electrochemical testing,7
Electrochemical performance (from Table 1),6
FT-IR,6
EELS,6
Differential Thermal Analysis (DTA),5
Nudged Elastic Band (NEB),5
Nanoindentation,5
TOF-SIMS,5
X-ray computed tomography (CT),5
Radial Distribution Function (RDF),4
Hebb–Wagner polarization,4
Arrhenius analysis,4
Bader charge analysis,4
Contact angle measurement,3
Thickness measurement,3
ToF-SIMS,3
Galvanostatic discharge,2
Cycle life test,2
Pulse discharge test,2
UV–vis spectroscopy,2
EPR,2
Tensile test,2
Density of States (HSE06),2
Radial distribution function (RDF),2
Electrochemical window determination,2
Electrochemical Voltage Spectroscopy (EVS),2
Monte Carlo simulation,2
Battery performance testing,2
Energy density calculation,2
NEB calculation,2
SAED,2
Battery cycling,2
Rietveld refinement,2
mechanical testing,2
CI-NEB diffusion barrier calculation,2
GW,2
Phonon dispersion (DFPT),2
NEB diffusion barrier calculation,2
Capacity measurement (galvanostatic discharge),2
UV-Vis,2
Electrochemical testing (galvanostatic),2
X-ray computed tomography (XCT),2
Viscosity measurement,2
MLMD,2
Galvanostatic charge–discharge cycling,1
Tap density measurement,1
Acid–base titration,1
Residence Time Analysis,1
Density of States (DOS) calculation,1
Magnetic moment analysis,1
Phase diagram computation,1
Energy density measurement,1
Energy density estimation,1
Half-cell testing (Na/NaCoO2),1
Half-cell testing (Na3V2(PO4)2F3),1
Electrochemical charge–discharge (C1 rate),1
Phase-field simulation,1
X-ray Computed Tomography (X-CT),1
Spectral Density of States (SDOS) analysis,1
Decomposition potential measurement,1
NEDC drive-cycle discharge test,1
UDDS drive-cycle test,1
MLTB drive-cycle test,1
pH measurement,1
CHN combustion analysis,1
C-rate performance test,1
Optical Microscopy,1
NEMD with Arrhenius extrapolation,1
DIMER/NEB transition-state search,1
Pulsed discharge test,1
Hebb-Wagner DC polarisation,1
Open-circuit voltage monitoring,1
Atomic Absorption Spectroscopy (AAS),1
STM,1
Far-infrared reflectivity spectroscopy,1
