tier,filename,title,journal,year,score,verdict,battery_subfield,num_synthesis_steps,num_chemicals,num_operations,num_characterization,num_char_results,complexity_score,doi
simple,Lamsayah_et_al__-_2016_-_High_liquid_liquid_extraction_selectivity_of_Fe_II_reactions.json,High liquid–liquid extraction selectivity of Fe(II) and Pb(II) with TD-DFT theor,Cogent Chemistry,2016,98.5,Excellent,,1,5,2,5,7,20,10.1080/23312009.2016.1230359
simple,Lv_et_al__-_2022_-_Two-dimensional_V2C_Se__MXene__composite_cathode_m_reactions.json,Two-dimensional V2C@Se (MXene) composite cathode material for high-performance r,Energy Storage Materials,2022,98.3,Excellent,,2,4,2,5,11,22,10.1016/j.ensm.2022.01.019
simple,Gao_et_al__-_2018_-_Na_3_MnZr_PO_4___3sub_reactions.json,Na3MnZr(PO 4)3: A High-Voltage Cathode for Sodium Batteries,Journal of the American Chemical Society,2018,98.1,Excellent,,1,2,1,8,17,19,10.1021/jacs.8b11388
simple,Li_and_Monroe_-_2019_-_Dendrite_nucleation_in_lithium-conductive_ceramics_reactions.json,Dendrite nucleation in lithium-conductive ceramics,Physical Chemistry Chemical Physics,2019,97.7,Excellent,,1,2,1,5,30,14,10.1039/c9cp03884a
simple,Liu_et_al__-_2021_-_Impedance_Modeling_of_Solid-State_Electrolytes_In_reactions.json,Impedance Modeling of Solid-State Electrolytes: Influence of the Contacted Space,ACS Applied Materials & Interfaces,2021,97.2,Excellent,,1,3,1,1,3,10,10.1021/acsami.0c22986
simple,L_pez-Aranguren_et_al__-_2021_-_Crystalline_LiPON_as_a_Bulk-Type_Solid_Electrolyte_reactions.json,Crystalline LiPON as a Bulk-Type Solid Electrolyte,ACS Energy Letters,2021,89.2,Good,,2,4,2,8,19,26,10.1021/acsenergylett.0c02336
simple,Trease_et_al__-_2016_-_Identifying_the_Distribution_of_Al_3__i_reactions.json,Identifying the Distribution of Al3+ in LiNi0.8Co0.15Al0.05O2,Chemistry of Materials,2016,85.5,Good,,1,4,1,6,16,18,10.1021/acs.chemmater.6b02797
simple,Hong_et_al__-_2022_-_All-Solid-State_Lithium_Batteries_Li___reactions.json,All-Solid-State Lithium Batteries: Li+-Conducting Ionomer Binder for Dry-Process,ACS Energy Letters,2022,83.6,Good,,2,5,2,6,10,24,10.1021/acsenergylett.1c02756
simple,Lee_et_al__-_2001_-_Synthesis_and_characterization_of_lithium_aluminum_reactions.json,Synthesis and characterization of lithium aluminum-doped spinel for lithium seco,,,82.8,Good,,1,2,1,0,0,7,
simple,Li_et_al__-_2023_-_One_step_in-situ_synthesis_of_Na3V2_PO4_3Na3V3_PO_reactions.json,One step in-situ synthesis of Na3V2(PO4)3/Na3V3(PO4)4 biphase coexisted cathode ,Journal of Power Sources,2023,79.4,Good,,2,4,2,9,15,28,10.1016/j.jpowsour.2023.232802
