journal,count
Chemistry of Materials,34
ACS Applied Materials & Interfaces,27
Solid State Ionics,26
Nature Communications,26
Journal of Power Sources,22
Journal of Materials Chemistry A,18
Journal of The Electrochemical Society,17
Nature Energy,16
Physical Chemistry Chemical Physics,16
Advanced Materials,12
Advanced Energy Materials,12
Energy Storage Materials,12
Energy & Environmental Science,12
Joule,11
Physical Review B,11
npj Computational Materials,9
Electrochimica Acta,9
Nano Letters,9
Nature,8
Journal of the American Chemical Society,8
ACS Energy Letters,7
Proceedings of the National Academy of Sciences,7
Nano Energy,7
Angewandte Chemie International Edition,6
Science Advances,6
Advanced Functional Materials,6
ACS Nano,6
Journal of Physical Chemistry C,5
Scientific Reports,5
Journal of Solid State Chemistry,4
Nanoscale,4
Chemical Reviews,4
Nature Materials,4
The Journal of Physical Chemistry Letters,4
The Journal of Physical Chemistry C,4
RSC Advances,4
Accounts of Chemical Research,4
Physical Review Materials,4
Journal of Chemical Physics,3
Journal of Alloys and Compounds,3
Matter,3
Energy & Fuels,3
Nature Reviews Materials,3
ACS Applied Energy Materials,3
iScience,3
Separation and Purification Technology,3
Electrochemistry Communications,3
Chemical Communications,3
Chemical Society Reviews,3
Inorganic Chemistry,3
Nature Nanotechnology,3
Materials Today,3
Batteries & Supercaps,2
Journal of Electroanalytical Chemistry,2
ACS Central Science,2
Carbon,2
Journal of Materials Science,2
Sustainable Energy & Fuels,2
Journal of Solid State Electrochemistry,2
Materials Advances,2
ACS Sustainable Chemistry & Engineering,2
Advanced Science,2
Journal of Physics and Chemistry of Solids,2
Journal of Energy Chemistry,2
npj Materials Degradation,2
Cell Reports Physical Science,2
Applied Energy,2
ACS Omega,2
Materials Science and Engineering B,2
Journal of the American Ceramic Society,2
Zeitschrift für Naturforschung B,2
Chemical Engineering Journal,2
Frontiers in Chemistry,2
Dalton Transactions,2
Interdisciplinary Materials,2
Nano Materials Science,2
Journal of Cleaner Production,2
ACS Materials Letters,2
npj 2D Materials and Applications,2
Energy & Environmental Science (Electronic Supplementary Material),2
Journal of Hazardous Materials,2
Progress in Materials Science,2
Physica Status Solidi A,1
ChemistryOpen,1
Materials Chemistry and Physics,1
Lithium-Sulfur Batteries (Book Chapter),1
Journal of Energy Storage,1
APL Materials,1
physica status solidi (a),1
Proceedings of the National Academy of Sciences USA,1
Current Opinion in Electrochemistry,1
The Journal of Physical Chemistry B,1
Materials Chemistry Frontiers,1
Journal of Physics: Condensed Matter,1
ChemSusChem,1
Electrochemical and Solid-State Letters,1
Energy Technology,1
Environmental Research Communications,1
Chem,1
Physics Today,1
National Science Review,1
NPJ Computational Materials,1
International Journal of Electrochemical Science,1
Journal of Chemical Theory and Computation,1
Environmental Science: Nano,1
physica status solidi (b),1
Energy Environ. Mater.,1
Frontiers in Materials,1
Scientific Data,1
Materials Science & Engineering A,1
MRS Advances,1
Physical Review Applied,1
Accounts of Materials Research,1
Small Methods,1
Chem. Mater.,1
Materials Research Bulletin,1
Cogent Chemistry,1
Materials Futures,1
Journal of Applied Physics,1
Small,1
IEEE/ASME Transactions on Mechatronics,1
Trends in Chemistry,1
Journal of Electroceramics,1
ChemElectroChem,1
Nature Chemistry,1
Progress in Solid State Chemistry,1
ChemSystemsChem,1
Progress in Surface Science,1
Materialia,1
Nano-Micro Letters,1
Journal of Physics Communications,1
Nature Machine Intelligence,1
Journal of Physics: Energy,1
Green Chemistry,1
Journal of Physical Chemistry Letters,1
Acta Crystallographica Section E,1
Materials Today Physics,1
Langmuir,1
European Physical Journal Applied Physics,1
Ceramics International,1
The Journal of Chemical Physics,1
New Journal of Chemistry,1
Metals,1
Proceedings of the National Academy of Sciences (PNAS),1
Journal of Physics: Materials,1
Physical Review Letters,1
Nature Computational Science,1
ChemPhysChem,1
MRS Energy & Sustainability: A Review Journal,1
Energy Fuels,1
Applied Surface Science,1
EXS,1
Solvent Extraction and Ion Exchange,1
New Journal of Physics,1
International Journal of Quantum Chemistry,1
Journal of Colloid and Interface Science,1
Mechanics of Materials,1
