filename,title,doi,journal,year,raw_paper_type,paper_category,has_experimental_section,score,verdict,num_targets,num_chemicals,num_synthesis_steps,num_operations,num_characterization,num_char_results,char_methods_normalized,tags
1-s2_0-002245968890312X-main_reactions.json,"Preparation, Crystal Structures, and Electronic Properties of LiGaCl3 and LiGaI3",,Journal of Solid State Chemistry,1988,research article,experimental_synthesis,True,98.31,Excellent,2,6,2,6,2,8,XRD|Differential Thermal Analysis (DTA),solid state synthesis|gallium halides|crystal structure
2019_-_Recycle_spent_batteries_reactions.json,Recycle spent batteries,10.1038/s41560-019-0376-4,Nature Energy,2019,editorial,editorial,True,100.0,Excellent,2,5,1,2,0,0,,battery recycling|lithium-ion batteries
2022_-_Machine_Learning_for_Battery_Applications_reactions.json,Machine Learning for Battery Applications,,,2022,white paper,editorial,False,96.55,Excellent,4,0,0,0,0,0,,machine learning|battery|materials
2023_-_Atomic_pinning_mitigates_voltage_decay_in_a_lithiu_reactions.json,Atomic pinning mitigates voltage decay in a lithium-rich layered oxide,10.1038/s41560-023-01289-6,Nature Energy,2023,research briefing,perspective,True,79.49,Good,1,2,2,2,2,2,TEM|Galvanostatic charge–discharge cycling,lithium-ion batteries|Li-rich layered oxide cathode|voltage decay mitigation
_ACSNano__Two-Dimensional_Vanadium_Carbide__MXene__as_a_High-Capacity_Cathode_Material_for_Rechargeable_Aluminum_Batteries-suppl_reactions.json,Two-Dimensional Vanadium Carbide (MXene) as a High Capacity Cathode Material for Rechargeable Aluminum Batteries,,,,supporting_information,supporting_info,True,94.87,Excellent,3,6,5,5,3,5,EDX/EDS|TGA|Galvanostatic discharge,MXene|aluminum battery|vanadium carbide
_AdvancedMaterials__HighNickel_NMA_reactions.json,High-Nickel NMA: A Cobalt-Free Alternative to NMC and NCA Cathodes for Lithium-Ion Batteries,10.1002/adma.202002718,Advanced Materials,2020,communication,editorial,True,99.27,Excellent,4,14,7,10,8,11,XRD|SEM|Tap density measurement|Acid–base titration|TGA|DSC|Galvanostatic cycling|Galvanostatic cycling,cathode material|lithium-ion battery|cobalt-free|high-nickel layered oxide
_BatteriesSupercaps__Designing_Lithium_Argyrodite_Solid_State_Electrolytes_for_High_Performance_reactions.json,Designing Lithium Argyrodite Solid-State Electrolytes for High-Performance All-Solid-State Lithium Batteries,10.1002/batt.202100288,Batteries & Supercaps,2022,review article,review,True,100.0,Excellent,1,3,2,2,1,1,Ionic conductivity measurement,solid-state electrolyte|lithium argyrodite|Li6PS5Cl
_JECS__Lithium_Free_Thin_Film_Battery_with_In_Situ_Plated_Li_Anode_reactions.json,“Lithium‐Free” Thin‐Film Battery with In Situ Plated Li Anode,,Journal of The Electrochemical Society,2000,research article,experimental_synthesis,True,99.09,Excellent,3,11,8,11,3,5,XRD|SEM|Galvanostatic cycling,thin-film battery|lithium-free|in situ plated lithium|solid electrolyte|RF magnetron sputtering
_PRL__First-Principles_Prediction_of_Potentials_and_Space-Charge_Layers_in_All-Solid-State_Batteries-suppl_reactions.json,Supplemental Material: First-principles prediction of potentials and space-charge layers in all-solid-state batteries,,,,computational study,computational,False,98.08,Excellent,3,3,0,0,5,6,DFT calculation|DFT calculation|DFT calculation|DFT calculation|DFT calculation,DFT|all-solid-state batteries|chemical potentials|band structure
_vall_and_Johansson_-_2020_-_A_novel_approach_to_ligand-exchange_rates_applied__reactions.json,A novel approach to ligand-exchange rates applied to lithium-ion battery and sodium-ion battery electrolytes,10.1063/5.0005397,Journal of Chemical Physics,2020,computational study,computational,False,97.37,Excellent,0,4,0,0,3,16,DFT calculation|Radial Distribution Function (RDF)|Residence Time Analysis,lithium-ion battery|sodium-ion battery|electrolyte|AIMD|ligand exchange
A_chemical_map_of_NaSICON_electrode_materials_for_sodium-ion_batteries-suppl_reactions.json,A Chemical Map of NaSiCON Electrode Materials for Sodium-ion Batteries,,Journal of Materials Chemistry A,2020,computational study,computational,False,98.0,Excellent,7,0,0,0,3,15,Density of States (DOS) calculation|Magnetic moment analysis|Phase diagram computation,DFT|NaSICON|sodium-ion battery|electrode materials
Aaboubi_et_al__-_2015_-_Investigation_of_the_electrodeposition_kinetics_of_reactions.json,Investigation of the electrodeposition kinetics of Ni–Mo alloys in the presence of magnetic ﬁeld,10.1016/j.jelechem.2014.10.014,Journal of Electroanalytical Chemistry,2015,research article,experimental_synthesis,True,84.85,Good,1,6,4,7,3,4,EDX/EDS|Cyclic voltammetry|EIS,electrodeposition|Ni–Mo alloy|magnetic field|electrochemistry
Abraham_-_2020_-_How_Comparable_Are_Sodium-Ion_Batteries_to_Lithium_reactions.json,How Comparable Are Sodium-Ion Batteries to Lithium-Ion Counterparts?,10.1021/acsenergylett.0c02181,ACS Energy Letters,2020,viewpoint,perspective,True,99.21,Excellent,6,16,2,2,6,13,Galvanostatic cycling|Energy density measurement|Energy density estimation|Cycle life test|Half-cell testing (Na/NaCoO2)|Half-cell testing (Na3V2(PO4)2F3),sodium-ion battery|lithium-ion battery|energy density|electrode materials
Abrahams_et_al__-_1988_-_Structure_determination_of_LISICON_solid_solutions_reactions.json,Structure Determination of LISICON Solid Solutions by Powder Neutron Diffraction,,Journal of Solid State Chemistry,1988,materials_characterization,characterization_study,True,86.54,Good,2,5,2,2,1,6,Neutron diffraction,LISICON|solid electrolyte|powder neutron diffraction
Adams_and_Rao_-_2011_-_High_power_lithium_ion_battery_materials_by_comput_reactions.json,High power lithium ion battery materials by computational design,,Physica Status Solidi A,2011,research-article,experimental_synthesis,True,97.67,Excellent,2,3,1,1,2,3,Ionic conductivity measurement|Electrochemical charge–discharge (C1 rate),lithium-ion batteries|bond valence method|computational design
Adeli_et_al__-_2021_-_Influence_of_Aliovalent_Cation_Substitution_and_Me_reactions.json,Influence of Aliovalent Cation Substitution and Mechanical Compression on Li-Ion Conductivity and Diffusivity in Argyrodite Solid Electrolytes,10.1021/acs.chemmater.0c03090,Chemistry of Materials,2021,research article,experimental_synthesis,True,98.48,Excellent,4,0,4,4,7,14,XRD|Neutron diffraction|NMR|EIS|NMR|Cyclic voltammetry|SEM,solid electrolyte|argyrodite|lithium conductivity
Advanced_Energy_Materials_-_2022_-_Kim_-_Stepwise_Dopant_Selection_Process_for_High_Nickel_Layered_Oxide_Cathodes_reactions.json,Stepwise Dopant Selection Process for High-Nickel Layered Oxide Cathodes,10.1002/aenm.202200136,Advanced Energy Materials,2022,research-article,experimental_synthesis,True,98.17,Excellent,2,15,4,14,4,4,XRD|XRD|SEM|TEM,battery materials|layered oxide cathode|doping
Advanced_Materials_-_2016_-_Liang_-_Interwoven_MXene_Nanosheet_Carbon_Nanotube_Composites_as_Li_S_Cathode_Hosts_reactions.json,Interwoven MXene Nanosheet/Carbon-Nanotube Composites as Li–S Cathode Hosts,10.1002/adma.201603040,Advanced Materials,2017,materials synthesis and electrochemistry study,experimental_synthesis,True,98.25,Excellent,9,9,5,14,3,8,XPS|BET|TGA,MXene|carbon nanotube|lithium–sulfur battery|cathode host
Ahmad_et_al__-_2018_-_Machine_Learning_Enabled_Computational_Screening_o_reactions.json,Machine Learning Enabled Computational Screening of Inorganic Solid Electrolytes for Suppression of Dendrite Formation in Lithium Metal Anodes,10.1021/acscentsci.8b00229,ACS Central Science,2018,computational screening,computational,False,98.36,Excellent,0,12,0,0,0,0,,solid electrolyte|machine learning|lithium metal anode|dendrite suppression
Ahmad_et_al__-_2020_-_Design_rules_for_liquid_crystalline_electrolytes_f_reactions.json,Design rules for liquid crystalline electrolytes for enabling dendrite-free lithium metal batteries,10.1073/pnas.2008841117,Proceedings of the National Academy of Sciences,2020,research article,research_article,False,90.32,Excellent,0,10,0,0,3,14,DFT calculation|DFT calculation|Phase-field simulation,liquid crystalline electrolyte|lithium metal batteries|dendrite suppression
