paper,group,total_flags,supported,unsupported,support_rate,contradictions,contradiction_rate
2019_-_Recycle_spent_batteries,high,13,7,6,53.8,0,0.0
An_et_al__-_2016_-_The_state_of_understanding_of_the_lithium-ion-batt,high,14,9,5,64.3,4,28.6
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion,high,16,15,1,93.8,0,0.0
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion-suppl,high,7,6,1,85.7,0,0.0
Assegie_et_al__-_2018_-_Polyethylene_oxide_film_coating_enhances_lithium_c,low,39,25,14,64.1,6,15.4
Baktash_et_al__-_2020_-_Diffusion_of_lithium_ions_in_Lithium-argyrodite_so,high,9,8,1,88.9,0,0.0
Barbosa_et_al__-_2021_-_Metal_organic_frameworks_and_zeolite_materials_as_,high,10,3,7,30.0,3,30.0
Boulineau_et_al__-_2012_-_Mechanochemical_synthesis_of_Li-argyrodite_Li6PS5X,low,30,26,4,86.7,2,6.7
Chang_et_al__-_2014_-_Rechargeable_LiBr_battery_a_promising_platform_,low,33,14,19,42.4,6,18.2
Cheenicode_Kabeer_et_al__-_2017_-_First-Principles_Study_of_Alkoxides_Adsorbed_on_Au,high,14,4,10,28.6,3,21.4
Cherkashinin_et_al__-_2019_-_Performance_of_Li-Ion_Batteries_Contribution_of_E,low,42,33,9,78.6,3,7.1
Duquesnoy_et_al__-_2020_-_Data-driven_assessment_of_electrode_calendering_pr,low,23,14,9,60.9,4,17.4
Ganesh_et_al__-_2014_-_Binding_and_Diffusion_of_Lithium_in_Graphite_Quan,high,5,3,2,60.0,0,0.0
Hsueh_et_al__-_2023_-_Sputtered_silver_on_the_current_collector_for_anod,low,29,17,12,58.6,0,0.0
Huang_et_al__-_2021_-_Deep_potential_generation_scheme_and_simulation_pr,high,5,3,2,60.0,2,40.0
Hunter_and_Beyerlein_-_2014_-_Stacking_fault_emission_from_grain_boundaries_Mat,high,11,8,3,72.7,1,9.1
Jalem_et_al__-_2018_-_Bayesian-Driven_First-Principles_Calculations_for_,high,21,16,5,76.2,1,4.8
Ji_et_al__-_2019_-_Lithium_intercalation_into_bilayer_graphene,low,39,24,15,61.5,5,12.8
Kalantar-Zadeh_et_al__-_2021_-_Low_Melting_Temperature_Liquid_Metals_and_Their_Im,high,7,5,2,71.4,0,0.0
Kim_et_al__-_2014_-_Novel_transition-metal-free_cathode_for_high_energ,low,35,27,8,77.1,2,5.7
Kim_et_al__-_2024_-_Fluorine-Substituted_Lithium_Chloride_Solid_Electr,high,23,13,10,56.5,7,30.4
Kuganathan_et_al__-_2021_-_Self-diffusion_in_garnet-type_Li7La3Zr2O12_solid_e,high,8,5,3,62.5,0,0.0
Lee_et_al__-_2020_-_Fe_2_CS_2_MXene_a_promising,high,10,5,5,50.0,1,10.0
Li_et_al__-_2024_-_Constructing_static_two-electron_lithium-bromide_b,low,33,16,17,48.5,5,15.2
Liu_et_al__-_2021_-_In_situ_formation_of_a_Li_3_N-ri,low,35,18,17,51.4,1,2.9
Luo_et_al__-_2022_-_Nickel-rich_and_cobalt-free_layered_oxide_cathode_,low,23,17,6,73.9,1,4.3
Luo_et_al__-_A_chemically_stabilized_sulfur_cathode_for_lean_el,low,33,18,15,54.5,4,12.1
Ma_and_Tietz_-_2020_-_Solid_State_Electrolyte_Materials_for_Sodium_Batte,high,8,8,0,100.0,0,0.0
Ma_and_Xu_-_2022_-_Enhanced_critical_current_density_of_Garnet_Li7La3,low,41,25,16,61.0,5,12.2
Maier_-_1995_-_Ionic_conduction_in_space_charge_regions,high,14,11,3,78.6,0,0.0
Marchiori_et_al__-_2020_-_Understanding_the_Electrochemical_Stability_Window,low,15,11,4,73.3,2,13.3
Marcolongo_et_al__-_2020_-_Simulating_Diffusion_Properties_of_Solid_State_Ele,high,10,8,2,80.0,0,0.0
Mulliner_et_al__-_2015_-_Diffusion_in_Li_2_O_studied_by_non-equi,high,7,6,1,85.7,0,0.0
Nguyen_et_al__-_2021_-_Polypeptide_organic_radical_batteries,low,58,34,24,58.6,5,8.6
Pan_et_al__-_Supporting_Information_Design_of_nano-structured_h,high,5,4,1,80.0,0,0.0
Park_et_al__-_2022_-_Introducing_high-valence_elements_into_cobalt-free,low,44,26,18,59.1,6,13.6
Radjendirane_et_al__-_2024_-_Overview_of_Inorganic_Electrolytes_for_All-Solid-S,high,10,3,7,30.0,2,20.0
Ren_et_al__-_2015_-_Direct_observation_of_lithium_dendrites_inside_gar,low,31,23,8,74.2,4,12.9
Rukelj_-_2020_-_Dynamical_conductivity_of_lithium-intercalated_hex,high,7,6,1,85.7,0,0.0
Scharf_et_al__-_2022_-_Bridging_nano-_and_microscale_X-ray_tomography_for,high,6,3,3,50.0,1,16.7
Sendek_et_al__-_2019_-_Machine_Learning-Assisted_Discovery_of_Solid_Li-Io,high,18,14,4,77.8,0,0.0
Senevirathne_et_al__-_2013_-_A_new_crystalline_LiPON_electrolyte_Synthesis__pr,low,33,28,5,84.8,1,3.0
Sha_et_al__-_2013_-_Solid_lithium_electrolyte-Li4Ti5O12_composites_as_,low,46,31,15,67.4,5,10.9
Shin_et_al__-_2015_-_Synergistic_multi-doping_effects_on_the_Li7La3Zr2O,low,33,26,7,78.8,1,3.0
Sj_lin_et_al__-_2023_-_Accelerated_Workflow_for_Antiperovskite_based_Soli,high,26,15,11,57.7,3,11.5
Su_et_al__-_2024_-_A_scalable_Li-Al-Cl_stratified_structure_for_stabl,low,40,24,16,60.0,2,5.0
Sun_et_al__-_2018_-_Towards_a_reliable_Li-metal-free_LiNO_3,low,50,32,18,64.0,6,12.0
Swift_et_al__-_2021_-_Modeling_the_electrical_double_layer_at_solid-stat,high,7,6,1,85.7,0,0.0
Takahashi_et_al__-_2013_-_All-solid-state_lithium_battery_with_LiBH4_solid_e,low,48,27,21,56.2,4,8.3
Tian_et_al__-_2020_-_Recently_advances_and_perspectives_of_anode-free_r,high,6,5,1,83.3,1,16.7
Wang_et_al__-_2021_-_Carbon_materials_for_ion-intercalation_involved_re,low,31,18,13,58.1,4,12.9
Yang_et_al__-_2019_-_Aqueous_Li-ion_battery_enabled_by_halogen_conversi,low,40,26,14,65.0,3,7.5
Yazdani_et_al__-_2021_-_Heterointerface_Effects_on_Lithium-Induced_Phase_T,low,52,18,34,34.6,8,15.4
Yu_and_Manthiram_-_2018_-_Electrode_electrolyte_interfaces_in_lithium-based_,high,10,4,6,40.0,1,10.0
Yu_et_al__-_2020_-_Tuning_ionic_conductivity_and_electrode_compatibil,low,26,21,5,80.8,2,7.7
Yuan_et_al__-_2020_-_An_ultrastable_lithium_metal_anode_enabled_by_desi,low,39,25,14,64.1,8,20.5
Zhang_et_al__-_2018_-_Lithiophilic-lithiophobic_gradient_interfacial_lay,low,53,20,33,37.7,8,15.1
Zhang_et_al__-_2022_-_Compositionally_complex_doping_for_zero-strain_zer,low,49,39,10,79.6,2,4.1
Zhu_et_al__-_2015_-_Origin_of_Outstanding_Stability_in_the_Lithium_Sol,high,21,20,1,95.2,1,4.8
Zhu_et_al__-_2021_-_An_unconventional_full_dual-cation_battery,low,30,22,8,73.3,0,0.0
_BatteriesSupercaps__Designing_Lithium_Argyrodite_Solid_State_Electrolytes_for_High_Performance,high,10,8,2,80.0,0,0.0
de_Klerk_and_Wagemaker_-_2018_-_Space-Charge_Layers_in_All-Solid-State_Batteries__,high,7,5,2,71.4,1,14.3
zhu-et-al-2015-origin-of-outstanding-stability-in-the-lithium-solid-electrolyte-materials-insights-from-thermodynamicsup,high,17,14,3,82.4,0,0.0
