method,count
XRD,146
SEM,119
XPS,68
EIS,61
Raman spectroscopy,44
TEM,39
Electrochemical Impedance Spectroscopy,35
Galvanostatic charge/discharge,32
Galvanostatic cycling,28
Impedance spectroscopy,23
Cyclic Voltammetry,22
AC impedance spectroscopy,22
Electrochemical impedance spectroscopy,22
Cyclic voltammetry,19
TGA,19
Electrochemical cycling,18
Ionic conductivity measurement,18
galvanostatic charge/discharge,18
CV,16
BET,16
FTIR,15
DSC,15
X-ray diffraction (XRD),14
Galvanostatic charge–discharge,14
Electrochemical Impedance Spectroscopy (EIS),14
ICP-OES,14
Density Functional Theory (DFT),12
CI-NEB,11
Raman,11
EDS,10
Electrochemical impedance spectroscopy (EIS),9
BET surface area,9
Galvanostatic charge/discharge (low-temperature),8
HRTEM,8
DC polarization,7
Scanning Electron Microscopy (SEM),7
GITT,7
31P MAS NMR,7
Electrochemical testing,7
AFM,7
TEM/HRTEM,7
electrochemical testing,7
Electrochemical performance (from Table 1),6
DFT,6
Differential Scanning Calorimetry (DSC),6
HAADF-STEM,6
Neutron powder diffraction,6
FESEM,6
FT-IR,6
FE-SEM,6
ICP-MS,6
XANES,6
Differential Thermal Analysis (DTA),5
Nudged Elastic Band (NEB),5
STEM-EDS,5
Nanoindentation,5
PXRD,5
AIMD simulation,5
DFT (HSE06),5
TOF-SIMS,5
SEM/EDS,5
Powder X-ray diffraction,5
DFT (GGA+U),5
X-ray computed tomography (CT),5
SEM/EDX,4
SEM (cross-section),4
EDX,4
AIMD,4
Molecular Dynamics Simulation,4
BET N2 adsorption,4
Hebb–Wagner polarization,4
Single-crystal X-ray diffraction,4
DFT (PBE),4
Radial Distribution Function (RDF),4
7Li PFG NMR,4
Powder XRD,4
Arrhenius analysis,4
Bader charge analysis,4
1H NMR,4
Neutron diffraction,4
SEM/TEM,4
DFT calculation,4
Thermogravimetric analysis,4
Electrochemical impedance,4
Scanning Electron Microscopy,4
DFT structure relaxation,4
Rietveld refinement (XRD),4
Scanning Transmission Electron Microscopy (STEM),3
Galvanostatic charge-discharge,3
Ab initio molecular dynamics (AIMD),3
ICP,3
MAS NMR,3
7Li NMR relaxometry,3
Contact angle measurement,3
TGA/DSC,3
Thickness measurement,3
X-ray Photoelectron Spectroscopy (XPS),3
Ab-initio Molecular Dynamics (AIMD),3
X-ray photoelectron spectroscopy (XPS),3
27Al MAS NMR,3
ToF-SIMS,3
AC Impedance Spectroscopy,3
ICP-AES,3
FT-IR spectroscopy,3
Complex impedance spectroscopy,3
Differential scanning calorimetry,3
Scanning electron microscopy,3
Linear sweep voltammetry,3
Raman Spectroscopy,3
Rate capability test,3
EELS,3
Thermogravimetric Analysis,3
X-ray powder diffraction,3
Molecular Dynamics (NVE) with DeepMD potential,3
DFT (vacuum alignment),3
Cycle life test,2
AC conductivity measurement,2
In situ XRD,2
Pulse discharge test,2
UV–vis spectroscopy,2
Transmission Electron Microscopy (TEM),2
X-ray powder diffraction (XRD),2
EPR,2
EDS mapping,2
HR-TEM,2
Tensile test,2
XRPD,2
Cyclic voltammetry (CV),2
Electrochemical cycling (half-cell),2
DFT (VASP),2
Galvanostatic cycling (symmetric cell),2
Density of States (HSE06),2
Radial distribution function (RDF),2
AC impedance,2
ABF-STEM,2
STEM-EELS,2
Electrochemical window determination,2
Electrochemical Voltage Spectroscopy (EVS),2
Monte Carlo simulation,2
Transmission Electron Microscopy,2
Battery performance testing,2
Energy density calculation,2
NEB calculation,2
X-ray Diffraction (XRD),2
7Li NMR,2
SAED,2
Synchrotron XRD,2
Battery cycling,2
Rietveld refinement,2
DFT (GGA),2
Electrical conductivity measurement,2
Battery testing,2
FIB-SEM,2
SEM-EDS,2
TG-DTA,2
mechanical testing,2
Electrochemical charge/discharge,2
CI-NEB diffusion barrier calculation,2
Electrochemical CV,2
GW,2
Phonon dispersion (DFPT),2
Conductivity measurement,2
EXAFS,2
conductivity measurement (unspecified),2
EELS mapping,2
Synchrotron X-ray powder diffraction,2
ATR-FTIR,2
NEB diffusion barrier calculation,2
Galvanostatic discharge,2
Capacity measurement (galvanostatic discharge),2
X-ray Photoelectron Spectroscopy,2
DFT-MD,2
Infrared Spectroscopy,2
Electrochemical testing (galvanostatic),2
X-ray computed tomography (XCT),2
Cyclic Voltammetry (CV),2
Viscosity measurement,2
Cryo-TEM,2
MLMD,2
Molecular Dynamics (MD),2
Electrochemical (galvanostatic charge/discharge),2
DFT band structure,2
Single crystal X-ray diffraction,1
Galvanostatic charge–discharge cycling,1
Density of States (DOS) calculation,1
Magnetic moment analysis,1
Phase diagram computation,1
Energy-dispersive X-ray spectroscopy (EDX),1
Energy density measurement,1
Energy density estimation,1
Half-cell testing (Na/NaCoO2),1
Half-cell testing (Na3V2(PO4)2F3),1
Powder neutron diffraction,1
Electrochemical charge–discharge (C1 rate),1
X-ray Powder Diffraction,1
