filename,title,doi,journal,year,paper_type,battery_subfield,score,verdict,num_targets,num_chemicals,num_synthesis_steps,num_operations,num_characterization,num_char_results,num_analysis_methods,num_ambiguities,has_yield,has_capacity,has_cycle_life
1-s2_0-002245968890312X-main_reactions.json,"Preparation, Crystal Structures, and Electronic Properties of LiGaCl3 and LiGaI3",,Journal of Solid State Chemistry,1988,research article,other/general,98.31,Excellent,2,6,2,6,2,8,1,2,False,False,False
2019_-_Recycle_spent_batteries_reactions.json,Recycle spent batteries,10.1038/s41560-019-0376-4,Nature Energy,2019,editorial,recycling,100.0,Excellent,2,5,1,2,0,0,1,1,True,False,False
2022_-_Machine_Learning_for_Battery_Applications_reactions.json,Machine Learning for Battery Applications,,,2022,white paper,Na-ion,96.55,Excellent,4,0,0,0,0,0,0,0,False,False,False
2023_-_Atomic_pinning_mitigates_voltage_decay_in_a_lithiu_reactions.json,Atomic pinning mitigates voltage decay in a lithium-rich layered oxide,10.1038/s41560-023-01289-6,Nature Energy,2023,research briefing,cathode,79.49,Good,1,2,2,2,2,2,1,2,False,False,False
A_chemical_map_of_NaSICON_electrode_materials_for_sodium-ion_batteries-suppl_reactions.json,A Chemical Map of NaSiCON Electrode Materials for Sodium-ion Batteries,,Journal of Materials Chemistry A,2020,computational study,solid-state electrolyte,98.0,Excellent,7,0,0,0,3,15,1,0,False,False,False
Aaboubi_et_al__-_2015_-_Investigation_of_the_electrodeposition_kinetics_of_reactions.json,Investigation of the electrodeposition kinetics of Ni–Mo alloys in the presence of magnetic ﬁeld,10.1016/j.jelechem.2014.10.014,Journal of Electroanalytical Chemistry,2015,research article,other/general,84.85,Good,1,6,4,7,3,4,0,1,False,False,False
Abraham_-_2020_-_How_Comparable_Are_Sodium-Ion_Batteries_to_Lithium_reactions.json,How Comparable Are Sodium-Ion Batteries to Lithium-Ion Counterparts?,10.1021/acsenergylett.0c02181,ACS Energy Letters,2020,viewpoint,Na-ion,99.21,Excellent,6,16,2,2,6,13,1,2,False,True,True
Abrahams_et_al__-_1988_-_Structure_determination_of_LISICON_solid_solutions_reactions.json,Structure Determination of LISICON Solid Solutions by Powder Neutron Diffraction,,Journal of Solid State Chemistry,1988,materials_characterization,solid-state electrolyte,86.54,Good,2,5,2,2,1,6,1,1,False,False,False
Adams_and_Rao_-_2011_-_High_power_lithium_ion_battery_materials_by_comput_reactions.json,High power lithium ion battery materials by computational design,,Physica Status Solidi A,2011,research-article,computational/ML,97.67,Excellent,2,3,1,1,2,3,0,1,False,True,False
Adeli_et_al__-_2021_-_Influence_of_Aliovalent_Cation_Substitution_and_Me_reactions.json,Influence of Aliovalent Cation Substitution and Mechanical Compression on Li-Ion Conductivity and Diffusivity in Argyrodite Solid Electrolytes,10.1021/acs.chemmater.0c03090,Chemistry of Materials,2021,research article,solid-state electrolyte,98.48,Excellent,4,0,4,4,7,14,1,1,False,False,False
Advanced_Energy_Materials_-_2022_-_Kim_-_Stepwise_Dopant_Selection_Process_for_High_Nickel_Layered_Oxide_Cathodes_reactions.json,Stepwise Dopant Selection Process for High-Nickel Layered Oxide Cathodes,10.1002/aenm.202200136,Advanced Energy Materials,2022,research-article,cathode,98.17,Excellent,2,15,4,14,4,4,0,1,False,True,True
Advanced_Materials_-_2016_-_Liang_-_Interwoven_MXene_Nanosheet_Carbon_Nanotube_Composites_as_Li_S_Cathode_Hosts_reactions.json,Interwoven MXene Nanosheet/Carbon-Nanotube Composites as Li–S Cathode Hosts,10.1002/adma.201603040,Advanced Materials,2017,materials synthesis and electrochemistry study,cathode,98.25,Excellent,9,9,5,14,3,8,2,2,False,True,True
Ahmad_et_al__-_2018_-_Machine_Learning_Enabled_Computational_Screening_o_reactions.json,Machine Learning Enabled Computational Screening of Inorganic Solid Electrolytes for Suppression of Dendrite Formation in Lithium Metal Anodes,10.1021/acscentsci.8b00229,ACS Central Science,2018,computational screening,solid-state electrolyte,98.36,Excellent,0,12,0,0,0,0,3,2,False,False,False
Ahmad_et_al__-_2020_-_Design_rules_for_liquid_crystalline_electrolytes_f_reactions.json,Design rules for liquid crystalline electrolytes for enabling dendrite-free lithium metal batteries,10.1073/pnas.2008841117,Proceedings of the National Academy of Sciences,2020,research article,electrolyte (liquid/polymer),90.32,Excellent,0,10,0,0,3,14,1,0,False,False,False
Ahmed_et_al__-_2016_-_Energy_impact_of_cathode_drying_and_solvent_recove_reactions.json,Energy impact of cathode drying and solvent recovery during lithium-ion battery manufacturing,10.1016/j.jpowsour.2016.04.102,Journal of Power Sources,2016,research article,cathode,98.77,Excellent,2,6,9,10,0,0,1,2,False,False,False
Ai_et_al__-_2022_-_A_coupled_phase_field_formulation_for_modelling_fa_reactions.json,A coupled phase field formulation for modelling fatigue cracking in lithium-ion battery electrode particles,10.1016/j.jpowsour.2022.231805,Journal of Power Sources,2022,simulation study,other/general,100.0,Excellent,0,1,0,0,1,1,0,0,False,False,False
Akhilash_et_al__-_2021_-_A_journey_through_layered_cathode_materials_for_li_reactions.json,A journey through layered cathode materials for lithium ion cells – From lithium cobalt oxide to lithium-rich transition metal oxides,10.1016/j.jallcom.2021.159239,Journal of Alloys and Compounds,2021,review,cathode,98.51,Excellent,6,2,1,2,6,18,0,1,False,False,False
Ali_Nowroozi_et_al__-_2022_-_Towards_Recycling_of_LLZO_Solid_Electrolyte_Exempl_reactions.json,Towards Recycling of LLZO Solid Electrolyte Exemplarily Performed on LFP/LLZO/LTO Cells,10.1002/open.202100274,ChemistryOpen,2022,research article,solid-state electrolyte,98.95,Excellent,3,10,6,15,2,3,1,2,False,False,False
An_et_al__-_2016_-_The_state_of_understanding_of_the_lithium-ion-batt_reactions.json,The state of understanding of the lithium-ion-battery graphite solid electrolyte interphase (SEI) and its relationship to formation cycling,http://dx.doi.org/10.1016/j.carbon.2016.04.008,Carbon,2016,review,solid-state electrolyte,100.0,Excellent,0,10,0,0,4,0,0,0,False,False,False
