filename,score_percent,verdict,raw_score
Zhu_et_al__-_2015_-_Origin_of_Outstanding_Stability_in_the_Lithium_Sol_reactions.json,100.0,Excellent,88/88
Kim_et_al__-_2024_-_Fluorine-Substituted_Lithium_Chloride_Solid_Electr_reactions.json,100.0,Excellent,84/84
Sj_lin_et_al__-_2023_-_Accelerated_Workflow_for_Antiperovskite_based_Soli_reactions.json,100.0,Excellent,78/78
Jalem_et_al__-_2018_-_Bayesian-Driven_First-Principles_Calculations_for__reactions.json,100.0,Excellent,70/70
zhu-et-al-2015-origin-of-outstanding-stability-in-the-lithium-solid-electrolyte-materials-insights-from-thermodynamicsup_reactions.json,100.0,Excellent,68/68
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion_reactions.json,100.0,Excellent,67/67
An_et_al__-_2016_-_The_state_of_understanding_of_the_lithium-ion-batt_reactions.json,100.0,Excellent,65/65
Sendek_et_al__-_2019_-_Machine_Learning-Assisted_Discovery_of_Solid_Li-Io_reactions.json,100.0,Excellent,63/63
Maier_-_1995_-_Ionic_conduction_in_space_charge_regions_reactions.json,100.0,Excellent,62/62
Cheenicode_Kabeer_et_al__-_2017_-_First-Principles_Study_of_Alkoxides_Adsorbed_on_Au_reactions.json,100.0,Excellent,59/59
Hunter_and_Beyerlein_-_2014_-_Stacking_fault_emission_from_grain_boundaries_Mat_reactions.json,100.0,Excellent,46/46
Marcolongo_et_al__-_2020_-_Simulating_Diffusion_Properties_of_Solid_State_Ele_reactions.json,100.0,Excellent,46/46
2019_-_Recycle_spent_batteries_reactions.json,100.0,Excellent,45/45
Kalantar-Zadeh_et_al__-_2021_-_Low_Melting_Temperature_Liquid_Metals_and_Their_Im_reactions.json,100.0,Excellent,41/41
_BatteriesSupercaps__Designing_Lithium_Argyrodite_Solid_State_Electrolytes_for_High_Performance_reactions.json,100.0,Excellent,40/40
Ma_and_Tietz_-_2020_-_Solid_State_Electrolyte_Materials_for_Sodium_Batte_reactions.json,100.0,Excellent,40/40
Lee_et_al__-_2020_-_Fe_2_CS_2_MXene_a_promising_reactions.json,100.0,Excellent,37/37
Yu_and_Manthiram_-_2018_-_Electrode_electrolyte_interfaces_in_lithium-based__reactions.json,100.0,Excellent,36/36
Radjendirane_et_al__-_2024_-_Overview_of_Inorganic_Electrolytes_for_All-Solid-S_reactions.json,100.0,Excellent,36/36
Angew_Chem_Int_Ed_-_2019_-_Wang_-_Lithium_Chlorides_and_Bromides_as_Promising_Solid_State_Chemistries_for_Fast_Ion-suppl_reactions.json,100.0,Excellent,35/35
Baktash_et_al__-_2020_-_Diffusion_of_lithium_ions_in_Lithium-argyrodite_so_reactions.json,100.0,Excellent,34/34
Barbosa_et_al__-_2021_-_Metal_organic_frameworks_and_zeolite_materials_as__reactions.json,100.0,Excellent,33/33
Swift_et_al__-_2021_-_Modeling_the_electrical_double_layer_at_solid-stat_reactions.json,100.0,Excellent,33/33
Mulliner_et_al__-_2015_-_Diffusion_in_Li_2_O_studied_by_non-equi_reactions.json,100.0,Excellent,33/33
Ganesh_et_al__-_2014_-_Binding_and_Diffusion_of_Lithium_in_Graphite_Quan_reactions.json,100.0,Excellent,32/32
Kuganathan_et_al__-_2021_-_Self-diffusion_in_garnet-type_Li7La3Zr2O12_solid_e_reactions.json,100.0,Excellent,31/31
Rukelj_-_2020_-_Dynamical_conductivity_of_lithium-intercalated_hex_reactions.json,100.0,Excellent,31/31
de_Klerk_and_Wagemaker_-_2018_-_Space-Charge_Layers_in_All-Solid-State_Batteries___reactions.json,100.0,Excellent,29/29
Tian_et_al__-_2020_-_Recently_advances_and_perspectives_of_anode-free_r_reactions.json,100.0,Excellent,29/29
Pan_et_al__-_Supporting_Information_Design_of_nano-structured_h_reactions.json,100.0,Excellent,29/29
Huang_et_al__-_2021_-_Deep_potential_generation_scheme_and_simulation_pr_reactions.json,100.0,Excellent,28/28
Scharf_et_al__-_2022_-_Bridging_nano-_and_microscale_X-ray_tomography_for_reactions.json,100.0,Excellent,28/28
